SERIES_WINNER,SERIES_LOSER,WINNER_GAMES_WON,LOSER_GAMES_WON,WINNER_HOME_GAMES,LOSER_HOME_GAMES,WINNER_SEED,LOSER_SEED,WINNER_CONF,LOSER_CONF,WINNER_WINS,LOSER_WINS,ROUND,HIGHER_SEED,LOWER_SEED,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF,SERIES_WINNER_H2H_WINS,SERIES_LOSER_H2H_WINS,H2H_WIN_RATIO,SEASON
Atlanta Hawks,Detroit Pistons,3,2,3,2,4,5,East,East,56,54,First Round,Atlanta Hawks,Detroit Pistons,1.0,0.0,0.0,-2.5,-2.0999999999999943,-2.3999999999999915,-2.299999999999997,-0.09999999999999964,0.2999999999999998,0.0040000000000000036,-0.21999999999999997,-0.6000000000000014,0.03200000000000003,-0.0050000000000000044,0.013000000000000012,0.02200000000000002,-0.014000000000000012,-0.01200000000000001,2.6999999999999886,2.450000000000003,0.009000000000000008,1,3,0.24999993750001562,1996-97
Chicago Bulls,Atlanta Hawks,4,1,3,2,1,4,East,East,69,56,Conf Semis,Chicago Bulls,Atlanta Hawks,8.0,3.0,6.0,5.699999999999989,6.0,0.29999999999999716,0.4000000000000057,5.5,5.6000000000000005,0.09999999999999998,0.6599999999999999,3.8999999999999986,0.03999999999999998,0.0,0.019000000000000017,-0.02100000000000002,0.013000000000000012,0.0050000000000000044,3.1000000000000085,2.9599999999999937,0.04699999999999993,3,1,0.7499998125000469,1996-97
Chicago Bulls,Miami Heat,4,1,3,2,1,2,East,East,69,61,Conf Finals,Chicago Bulls,Miami Heat,8.0,3.0,5.0,7.099999999999994,7.200000000000003,1.2999999999999972,1.5,5.9,5.800000000000001,0.039000000000000035,0.5999999999999999,2.5,0.04999999999999999,-0.008000000000000007,0.020000000000000018,-0.03,0.0040000000000000036,0.0010000000000000009,2.1000000000000085,1.9599999999999937,0.04999999999999993,2,2,0.49999987500003124,1996-97
Chicago Bulls,Utah Jazz,4,2,3,3,1,1,East,West,69,64,NBA Finals,Chicago Bulls,Utah Jazz,0.0,-2.0,2.0,0.5999999999999943,0.0,-2.3999999999999915,-1.8999999999999915,3.0,2.0,-0.04799999999999993,0.17999999999999994,-1.0,0.045999999999999985,-0.017000000000000015,0.006000000000000005,-0.020000000000000018,-0.020000000000000018,-0.03399999999999992,0.29999999999999716,0.4000000000000057,-0.0040000000000000036,1,1,0.499999750000125,1996-97
Chicago Bulls,Washington Bullets,3,0,2,1,1,8,East,East,69,44,First Round,Chicago Bulls,Washington Bullets,4.0,-6.0,9.0,7.0,7.200000000000003,-2.799999999999997,-3.0,9.9,10.3,0.05500000000000005,0.43999999999999995,1.6999999999999993,0.04799999999999999,-0.006000000000000005,0.02100000000000002,-0.020000000000000018,0.006000000000000005,0.007000000000000006,-2.0999999999999943,-2.019999999999996,0.06099999999999994,2,1,0.6666664444445185,1996-97
Houston Rockets,Minnesota Timberwolves,3,0,2,1,3,6,West,West,57,40,First Round,Houston Rockets,Minnesota Timberwolves,5.0,-2.0,7.0,3.200000000000003,3.5999999999999943,-2.299999999999997,-2.700000000000003,5.5,6.4,0.025000000000000022,-0.040000000000000036,1.0,-0.0050000000000000044,0.04299999999999993,0.026000000000000023,0.013999999999999985,0.03500000000000003,0.027000000000000024,0.6999999999999886,0.6899999999999977,0.03500000000000003,4,0,0.9999997500000625,1996-97
Houston Rockets,Seattle SuperSonics,4,3,4,3,3,2,West,West,57,57,Conf Semis,Seattle SuperSonics,Houston Rockets,0.0,3.0,-3.0,-2.4000000000000057,-2.0999999999999943,1.9000000000000057,1.7999999999999972,-4.299999999999999,-3.8,0.019000000000000017,-0.10000000000000009,0.5999999999999979,-0.02300000000000002,0.03499999999999992,0.014000000000000012,0.014999999999999986,0.010000000000000009,0.0030000000000000027,1.1999999999999886,1.0499999999999972,-0.026000000000000023,3,1,0.7499998125000469,1996-97
Los Angeles Lakers,Portland Trail Blazers,3,1,2,2,4,5,West,West,56,49,First Round,Los Angeles Lakers,Portland Trail Blazers,1.0,1.0,0.0,0.6000000000000085,0.10000000000000853,0.29999999999999716,0.20000000000000284,0.20000000000000018,0.0,0.041000000000000036,0.25,0.8999999999999986,-0.014999999999999958,-0.03299999999999992,-0.026000000000000023,-0.01899999999999999,-0.007000000000000006,-0.009000000000000008,0.09999999999999432,0.4399999999999977,0.0030000000000000027,1,3,0.24999993750001562,1996-97
Miami Heat,New York Knicks,4,3,4,3,2,3,East,East,61,57,Conf Semis,Miami Heat,New York Knicks,0.0,-3.0,3.0,1.7999999999999972,2.299999999999997,0.30000000000001137,-0.29999999999999716,1.5,2.6,-0.013000000000000012,0.09000000000000008,-0.3000000000000007,0.0010000000000000009,-0.02199999999999991,-0.015000000000000013,-0.015000000000000013,0.006000000000000005,0.0,-2.4000000000000057,-2.299999999999997,-0.0010000000000000009,1,3,0.24999993750001562,1996-97
Miami Heat,Orlando Magic,3,2,3,2,2,7,East,East,61,45,First Round,Miami Heat,Orlando Magic,1.0,-6.0,6.0,1.7000000000000028,1.4000000000000057,-5.3999999999999915,-5.0,7.1,6.5,0.020000000000000018,-0.020000000000000018,0.5999999999999979,-0.01200000000000001,0.027000000000000024,0.014000000000000012,0.00899999999999998,0.026000000000000023,0.02200000000000002,-0.30000000000001137,-0.3399999999999892,0.050000000000000044,2,2,0.49999987500003124,1996-97
New York Knicks,Charlotte Hornets,3,0,2,1,3,6,East,East,57,54,First Round,New York Knicks,Charlotte Hornets,-4.0,-5.0,1.0,-5.799999999999997,-6.199999999999989,-8.0,-7.599999999999994,2.1999999999999997,1.2999999999999998,-0.04800000000000004,-0.43999999999999995,-2.0,0.007000000000000006,0.038999999999999924,0.02400000000000002,0.03,-0.017000000000000015,-0.016000000000000014,1.9000000000000057,1.7999999999999972,0.009000000000000008,1,3,0.24999993750001562,1996-97
Seattle SuperSonics,Phoenix Suns,3,2,3,2,2,7,West,West,57,40,First Round,Seattle SuperSonics,Phoenix Suns,-2.0,-9.0,7.0,1.5,1.5999999999999943,-6.0,-6.099999999999994,7.499999999999999,7.6,-0.014000000000000012,-0.17999999999999994,-0.7999999999999972,0.04400000000000004,-0.006000000000000005,0.018000000000000016,0.01200000000000001,0.0020000000000000018,0.0050000000000000044,-2.8999999999999915,-2.779999999999987,0.05300000000000005,2,2,0.49999987500003124,1996-97
Utah Jazz,Houston Rockets,4,2,3,3,1,3,West,West,64,57,Conf Finals,Utah Jazz,Houston Rockets,2.0,-2.0,4.0,4.700000000000003,4.900000000000006,0.19999999999998863,-0.20000000000000284,4.6,5.1000000000000005,0.038999999999999924,0.28,1.6999999999999993,0.010000000000000009,-0.004999999999999893,0.0040000000000000036,-0.010999999999999982,0.01100000000000001,0.020999999999999908,-1.6999999999999886,-1.6300000000000097,0.05399999999999994,2,2,0.49999987500003124,1996-97
Utah Jazz,Los Angeles Clippers,3,0,2,1,1,8,West,West,64,36,First Round,Utah Jazz,Los Angeles Clippers,6.0,-6.0,11.0,8.700000000000003,8.900000000000006,-3.3000000000000114,-3.6000000000000085,12.1,12.600000000000001,0.1459999999999999,0.48,4.799999999999999,-0.01100000000000001,0.03300000000000003,0.026000000000000023,-0.0030000000000000027,0.049000000000000044,0.05699999999999994,-1.5999999999999943,-1.5500000000000114,0.11499999999999999,3,1,0.7499998125000469,1996-97
